env,seed,lam_min_exact,lam_min_learned,flip_interval_lo,flip_interval_hi,flip_interval_width
Env1_DoorKey-Lava,0,0.10725555612005841,0.08987177555299686,0.08987177555299686,0.10725555612005841,0.017383780567061552
Env1_DoorKey-Lava,1,0.10725555612005841,0.09901947850516515,0.09901947850516515,0.10725555612005841,0.008236077614893256
Env1_DoorKey-Lava,2,0.10725555612005841,0.10992464724406942,0.10725555612005841,0.10992464724406942,0.0026690911240110082
Env2_Sokoban,0,0.10725555612005841,0.113240905756104,0.10725555612005841,0.113240905756104,0.005985349636045592
Env2_Sokoban,1,0.10725555612005841,0.125938932110819,0.10725555612005841,0.125938932110819,0.018683375990760587
Env2_Sokoban,2,0.10725555612005841,0.12931507354170801,0.10725555612005841,0.12931507354170801,0.022059517421649605
Env3_Resource,0,0.10725555612005841,0.12799462595331126,0.10725555612005841,0.12799462595331126,0.020739069833252854
Env3_Resource,1,0.10725555612005841,0.13792027415384772,0.10725555612005841,0.13792027415384772,0.030664718033789312
Env3_Resource,2,0.10725555612005841,0.12340473797752433,0.10725555612005841,0.12340473797752433,0.016149181857465916
Env4_MiniGrid,0,0.094083821157946,0.08956520892076514,0.08956520892076514,0.094083821157946,0.0045186122371808635
Env4_MiniGrid,1,0.094083821157946,0.12714527863946393,0.094083821157946,0.12714527863946393,0.033061457481517925
Env4_MiniGrid,2,0.094083821157946,0.07746279616971288,0.07746279616971288,0.094083821157946,0.01662102498823312
Env4_MiniGrid,3,0.094083821157946,0.13014226661501596,0.094083821157946,0.13014226661501596,0.03605844545706996
Env4_MiniGrid,4,0.094083821157946,0.14201530173467025,0.094083821157946,0.14201530173467025,0.04793148057672425
