method,rcp,seed,Dw_rev_abs_error,collapse_ratio,flip_threshold_exact,above_threshold
baseline,0.0,0,0.0,0.0,1.0,False
oracle,0.0,0,0.0,0.0,1.0,False
non_oracle,0.0,0,0.0,0.0,1.0,False
baseline,0.0,1,0.0,0.0,1.0,False
oracle,0.0,1,0.0,0.0,1.0,False
non_oracle,0.0,1,0.0,0.0,1.0,False
baseline,0.0,2,0.0,0.0,1.0,False
oracle,0.0,2,0.0,0.0,1.0,False
non_oracle,0.0,2,0.0,0.0,1.0,False
baseline,0.2,0,0.0,0.0,1.0,False
oracle,0.2,0,0.0,0.0,1.0,False
non_oracle,0.2,0,0.34724179207170014,0.0,1.0,False
baseline,0.2,1,0.0,0.0,1.0,False
oracle,0.2,1,0.0,0.0,1.0,False
non_oracle,0.2,1,0.31023580270117523,0.0,1.0,False
baseline,0.2,2,0.0,0.0,1.0,False
oracle,0.2,2,0.0,0.0,1.0,False
non_oracle,0.2,2,0.2994597369073034,0.0,1.0,False
baseline,0.3,0,0.0,0.0,1.0,False
oracle,0.3,0,0.0,0.0,1.0,False
non_oracle,0.3,0,0.5026690745927096,0.0,1.0,False
baseline,0.3,1,0.0,0.0,1.0,False
oracle,0.3,1,0.0,0.0,1.0,False
non_oracle,0.3,1,0.4608157355868817,0.0,1.0,False
baseline,0.3,2,0.0,0.0,1.0,False
oracle,0.3,2,0.0,0.0,1.0,False
non_oracle,0.3,2,0.4344855579203368,0.0,1.0,False
baseline,0.5,0,1.7780310000000001,1.0567662471032644,1.0,True
oracle,0.5,0,0.0,0.0,1.0,False
non_oracle,0.5,0,0.805275572377503,0.0,1.0,False
baseline,0.5,1,1.7780310000000001,1.0567662471032644,1.0,True
oracle,0.5,1,7.821321487426758e-08,0.0,1.0,False
non_oracle,0.5,1,0.7593054049399497,0.0,1.0,False
baseline,0.5,2,0.0,0.0,1.0,False
oracle,0.5,2,0.0,0.0,1.0,False
non_oracle,0.5,2,0.8337021817483307,0.0,1.0,False
baseline,0.7,0,1.7780310000000001,1.0567662471032644,1.0,True
oracle,0.7,0,0.0,0.0,1.0,False
non_oracle,0.7,0,1.2278823054932357,0.0,1.0,True
baseline,0.7,1,1.7780310000000001,1.0567662471032644,1.0,True
oracle,0.7,1,7.821321487426758e-08,0.0,1.0,False
non_oracle,0.7,1,1.1464819279232026,0.0,1.0,True
baseline,0.7,2,0.0,0.0,1.0,False
oracle,0.7,2,0.0,0.0,1.0,False
non_oracle,0.7,2,1.319403663517177,1.0567662471032644,1.0,True
baseline,1.0,0,1.7780310000000001,1.0567662471032644,1.0,True
oracle,1.0,0,0.0,0.0,1.0,False
non_oracle,1.0,0,1.7552988043887243,1.0567662471032644,1.0,True
baseline,1.0,1,1.7780310000000001,1.0567662471032644,1.0,True
oracle,1.0,1,0.0,0.0,1.0,False
non_oracle,1.0,1,1.7556777625013862,1.0567662471032644,1.0,True
baseline,1.0,2,1.7780310000000001,1.0567662471032644,1.0,True
oracle,1.0,2,0.0,0.0,1.0,False
non_oracle,1.0,2,1.7663785068917954,1.0567662471032644,1.0,True
